Model,Channel_Config,N_Channels,Feature_Subset,N_Features,Class_Type,N_Samples,Time_sec,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_cls0_mean,precision_cls0_std,recall_cls0_mean,recall_cls0_std,f1_cls0_mean,f1_cls0_std,support_cls0_mean,support_cls0_std,precision_cls10_mean,precision_cls10_std,recall_cls10_mean,recall_cls10_std,f1_cls10_mean,f1_cls10_std,support_cls10_mean,support_cls10_std,precision_cls40_mean,precision_cls40_std,recall_cls40_mean,recall_cls40_std,f1_cls40_mean,f1_cls40_std,support_cls40_mean,support_cls40_std,confusion_matrix_sum,roc_auc_macro_mean,roc_auc_macro_std
RandomForest,Cz,1,Martinez,3,2class,1023,4.8,0.4909918237642277,0.040730444348673386,0.4895867951705767,0.04010199667887874,,,,,,,,,0.4773086924077023,0.038142723775460095,0.49394757753025376,0.07610498612495123,0.48452915825809517,0.05342629817939452,99.6,14.621901381147392,0.5042598348479209,0.043894243258719476,0.4875500821018062,0.057763125201452076,0.49464443208305814,0.04518882223133902,105.0,16.911534525287763,"[[242 256]
 [267 258]]",,
NaiveBayes,Cz,1,Martinez,3,2class,1023,0.1,0.4669582881588318,0.06863322744187807,0.4523490889137671,0.08029603561980155,,,,,,,,,0.4499976498310181,0.08163407735246785,0.44493912085661574,0.15891819237889912,0.4389418452163348,0.10657243313546944,99.6,14.621901381147392,0.4629717210330272,0.09620335095747896,0.4855557545902373,0.19765639776398475,0.4657563326111994,0.1518907420263349,105.0,16.911534525287763,"[[215 283]
 [258 267]]",,
BayesNet,Cz,1,Martinez,3,2class,1023,0.1,0.4669582881588318,0.06863322744187807,0.4523490889137671,0.08029603561980155,,,,,,,,,0.4499976498310181,0.08163407735246785,0.44493912085661574,0.15891819237889912,0.4389418452163348,0.10657243313546944,99.6,14.621901381147392,0.4629717210330272,0.09620335095747896,0.4855557545902373,0.19765639776398475,0.4657563326111994,0.1518907420263349,105.0,16.911534525287763,"[[215 283]
 [258 267]]",,
RandomTree,Cz,1,Martinez,3,2class,1023,0.1,0.5071555549856187,0.04105652889240099,0.5027900147893206,0.04038648553442748,,,,,,,,,0.49255838302969457,0.03940156071189687,0.5366769928601667,0.11870422682483608,0.5106550597687188,0.06922334970840543,99.6,14.621901381147392,0.5233882960385664,0.045356645107716635,0.4777179429765638,0.0933133249913845,0.4949249698099223,0.061184572625211375,105.0,16.911534525287763,"[[261 237]
 [269 256]]",,
LDA,Cz,1,Martinez,3,2class,1023,0.1,0.5088676816738189,0.04930723893167793,0.47442796294534445,0.03695835242322473,,,,,,,,,0.5113467214238672,0.054495711292228265,0.30549524900187863,0.12340296055707439,0.36686893521776553,0.07831833120992454,99.6,14.621901381147392,0.5068696066493311,0.050456115307306613,0.6988517689207344,0.19889285630969167,0.5819869906729233,0.11197239446041397,105.0,16.911534525287763,"[[146 352]
 [145 380]]",,
LogisticRegression,Cz,1,Martinez,3,2class,1023,0.1,0.5061523087666651,0.04715666287184887,0.47066322799046434,0.03386707844239224,,,,,,,,,0.5058929272787698,0.05065049449098836,0.2999220688595482,0.12512228307478795,0.3607003003916437,0.07940491572706367,99.6,14.621901381147392,0.5049510873948644,0.04906098762315818,0.6988517689207344,0.19889285630969167,0.5806261555892851,0.1111267652818335,105.0,16.911534525287763,"[[143 355]
 [145 380]]",,
SVM,Cz,1,Martinez-All-p,9,3class,1184,0.9,0.5284643469337198,0.11515430231129845,0.6240455645948714,0.0922728790188475,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.45472417586708,0.10003330613447296,0.6163857140375927,0.18432395229651063,0.5193903390246385,0.1269375890035974,99.6,14.621901381147392,0.4484465649774694,0.21560053249856526,0.30218010150768776,0.17319762603259747,0.3527463547599755,0.18016215714548953,105.0,16.911534525287763,"[[161   0   0]
 [  0 313 185]
 [  0 362 163]]",0.7292957504266191,0.08800092074330983
kNN,Cz,1,Martinez-All-p,9,3class,1184,0.5,0.582075121436197,0.08928914731215168,0.6704723244951336,0.07021151231861232,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.5026546638712938,0.08280548541238553,0.6735548386310761,0.119344108591372,0.5749023034486067,0.09524708371127467,99.6,14.621901381147392,0.5445339427183573,0.15303483699703868,0.3670417972831766,0.10751377499844039,0.43651467003679434,0.120893974148687,105.0,16.911534525287763,"[[161   0   0]
 [  0 330 168]
 [  0 335 190]]",0.7521880196300303,0.07913946122802484
MLP,Cz,1,Martinez-All-p,9,3class,1184,0.9,0.5299621016386672,0.10576249831677614,0.6255401276620776,0.08462882132584966,0.9577524893314366,0.08021801139240485,1.0,0.0,0.9769704189001389,0.04423742734098062,32.2,6.099180272790763,0.4589819112354169,0.1115893771775332,0.5495588364623301,0.1466677794135817,0.49711416712338774,0.11704525022594091,99.6,14.621901381147392,0.4589328284974005,0.15941883412945132,0.3670135841170324,0.16546161189948982,0.4025357969627062,0.15379860097686668,105.0,16.911534525287763,"[[161   0   0]
 [  2 267 229]
 [  6 326 193]]",0.7165698171411687,0.07671080768121921
RandomForest,Cz,1,Martinez-All-p,9,3class,1184,4.9,0.5693146769310464,0.08480073136829748,0.6618303161188361,0.07508542120642854,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.49854432389545555,0.08169962005536462,0.5961291148707901,0.07920180896536676,0.539557770981064,0.0692075627373674,99.6,14.621901381147392,0.4951643983104657,0.15172779249582005,0.4131588296760711,0.180912761709422,0.44593317737544436,0.16991199543241953,105.0,16.911534525287763,"[[161   0   0]
 [  0 293 205]
 [  0 310 215]]",0.7470768862325049,0.05382707332029097
