Model,Feature_Subset,Feature_Label,Channel_Config,Class_Type,Month,Accuracy,F1_Macro,Kappa,MAE,N,N_Features,Group
LogisticRegression,C_Todos7_Parietal-5,"Todos7 per-ch (Parietal-5, 5ch x 7m)",Parietal-5,3class,Mes 3,0.7354545454545455,0.6491762177718186,0.5586045228902372,7.0181818181818185,1100,35,C
MLP,C_Todos7_Parietal-5,"Todos7 per-ch (Parietal-5, 5ch x 7m)",Parietal-5,3class,Mes 3,0.5481818181818182,0.49366239427179354,0.3019662921348315,10.836363636363636,1100,35,C
DecisionTree,C_Todos7_Parietal-5,"Todos7 per-ch (Parietal-5, 5ch x 7m)",Parietal-5,3class,Mes 3,0.6654545454545454,0.5596638502017136,0.4317798989331837,8.963636363636363,1100,35,C
SVM,C_Todos7_Parietal-5,"Todos7 per-ch (Parietal-5, 5ch x 7m)",Parietal-5,2class,Mes 3,0.838,0.8379066342213115,0.6759999999999999,4.86,1000,35,C
kNN,C_Todos7_Parietal-5,"Todos7 per-ch (Parietal-5, 5ch x 7m)",Parietal-5,2class,Mes 3,0.78,0.778510705987057,0.56,6.6,1000,35,C
RandomForest,C_Todos7_Parietal-5,"Todos7 per-ch (Parietal-5, 5ch x 7m)",Parietal-5,2class,Mes 3,0.845,0.8449961249031226,0.69,4.65,1000,35,C
NaiveBayes,C_Todos7_Parietal-5,"Todos7 per-ch (Parietal-5, 5ch x 7m)",Parietal-5,2class,Mes 3,0.735,0.7348342714196372,0.47,7.95,1000,35,C
LogisticRegression,C_Todos7_Parietal-5,"Todos7 per-ch (Parietal-5, 5ch x 7m)",Parietal-5,2class,Mes 3,0.848,0.8479702021596233,0.696,4.56,1000,35,C
MLP,C_Todos7_Parietal-5,"Todos7 per-ch (Parietal-5, 5ch x 7m)",Parietal-5,2class,Mes 3,0.781,0.7808630393996248,0.562,6.57,1000,35,C
DecisionTree,C_Todos7_Parietal-5,"Todos7 per-ch (Parietal-5, 5ch x 7m)",Parietal-5,2class,Mes 3,0.75,0.7498308856787188,0.5,7.5,1000,35,C
SVM,A1_RS,Rescaled Range,All-16,3class,Mes 6,0.3754227733934611,0.3648767313868515,0.13134370044847177,17.068771138669675,887,1,A
kNN,A1_RS,Rescaled Range,All-16,3class,Mes 6,0.42390078917700114,0.39068824648343603,0.12679358547561803,15.88500563697858,887,1,A
RandomForest,A1_RS,Rescaled Range,All-16,3class,Mes 6,0.39120631341600903,0.3519291548442834,0.0445528260674426,16.80947012401353,887,1,A
NaiveBayes,A1_RS,Rescaled Range,All-16,3class,Mes 6,0.3438556933483653,0.3384613121644975,0.10732491786270115,17.564825253664036,887,1,A
LogisticRegression,A1_RS,Rescaled Range,All-16,3class,Mes 6,0.3742953776775648,0.35403809856085217,0.10721539923540624,17.192784667418263,887,1,A
MLP,A1_RS,Rescaled Range,All-16,3class,Mes 6,0.33934611048478014,0.32601936328991005,0.06076168035156715,18.049605411499435,887,1,A
DecisionTree,A1_RS,Rescaled Range,All-16,3class,Mes 6,0.3788049605411499,0.34270179464537126,0.03993580412794395,17.057497181510712,887,1,A
SVM,A1_RS,Rescaled Range,All-16,2class,Mes 6,0.5985130111524164,0.5981866240472093,0.1970839679654105,12.04460966542751,807,1,A
kNN,A1_RS,Rescaled Range,All-16,2class,Mes 6,0.5786864931846345,0.5748155953635405,0.1571749788049689,12.639405204460967,807,1,A
RandomForest,A1_RS,Rescaled Range,All-16,2class,Mes 6,0.5415117719950434,0.5415110679802472,0.08302776805291967,13.754646840148698,807,1,A
NaiveBayes,A1_RS,Rescaled Range,All-16,2class,Mes 6,0.5749690210656754,0.5748410651667376,0.1499027981241421,12.75092936802974,807,1,A
LogisticRegression,A1_RS,Rescaled Range,All-16,2class,Mes 6,0.5824039653035935,0.5823398331257515,0.1648348611175089,12.527881040892193,807,1,A
MLP,A1_RS,Rescaled Range,All-16,2class,Mes 6,0.5600991325898389,0.5511419452787532,0.12050752289409605,13.197026022304833,807,1,A
DecisionTree,A1_RS,Rescaled Range,All-16,2class,Mes 6,0.5439900867410161,0.5439333628188118,0.08800678061873146,13.680297397769516,807,1,A
SVM,A2_Higuchi,Higuchi,All-16,3class,Mes 6,0.4926719278466742,0.4588680533903135,0.20073608772179252,14.487034949267192,887,1,A
kNN,A2_Higuchi,Higuchi,All-16,3class,Mes 6,0.46786922209695603,0.4308614102752955,0.16585343499891403,15.36640360766629,887,1,A
RandomForest,A2_Higuchi,Higuchi,All-16,3class,Mes 6,0.44983089064261556,0.40364706652864574,0.11951343544679716,15.96392333709132,887,1,A
NaiveBayes,A2_Higuchi,Higuchi,All-16,3class,Mes 6,0.4644870349492672,0.43932294929651333,0.1796759396271087,15.062006764374296,887,1,A
LogisticRegression,A2_Higuchi,Higuchi,All-16,3class,Mes 6,0.4047350620067644,0.3880273091326489,0.08357548327257558,16.764374295377678,887,1,A
MLP,A2_Higuchi,Higuchi,All-16,3class,Mes 6,0.4250281848928974,0.4008392583906604,0.12320860258403132,16.471251409244644,887,1,A
DecisionTree,A2_Higuchi,Higuchi,All-16,3class,Mes 6,0.4419391206313416,0.39912608511671815,0.10570836150919416,16.324689966178127,887,1,A
SVM,A2_Higuchi,Higuchi,All-16,2class,Mes 6,0.6158612143742255,0.6152935314814358,0.23179674257498706,11.524163568773234,807,1,A
kNN,A2_Higuchi,Higuchi,All-16,2class,Mes 6,0.5960346964064436,0.5903578813622661,0.19183485393051336,12.118959107806692,807,1,A
RandomForest,A2_Higuchi,Higuchi,All-16,2class,Mes 6,0.573729863692689,0.573650649334693,0.14743223571468056,12.788104089219331,807,1,A
NaiveBayes,A2_Higuchi,Higuchi,All-16,2class,Mes 6,0.5700123915737298,0.5700018273029777,0.1400366674958311,12.899628252788103,807,1,A
LogisticRegression,A2_Higuchi,Higuchi,All-16,2class,Mes 6,0.5080545229244114,0.5074615851736834,0.016195152508958977,14.758364312267657,807,1,A
MLP,A2_Higuchi,Higuchi,All-16,2class,Mes 6,0.5464684014869888,0.5334110555050046,0.09256198347107447,13.605947955390334,807,1,A
DecisionTree,A2_Higuchi,Higuchi,All-16,2class,Mes 6,0.5687732342007435,0.5687566797292483,0.137534549474848,12.936802973977695,807,1,A
SVM,A3_DFA,DFA,All-16,3class,Mes 6,0.4227733934611049,0.39855166246447027,0.14232187103402416,16.20067643742954,887,1,A
kNN,A3_DFA,DFA,All-16,3class,Mes 6,0.43855693348365277,0.40401567781997794,0.15162002804079366,16.099210822998874,887,1,A
RandomForest,A3_DFA,DFA,All-16,3class,Mes 6,0.4036076662908681,0.3675004272565248,0.05918314151662185,16.93348365276212,887,1,A
NaiveBayes,A3_DFA,DFA,All-16,3class,Mes 6,0.4227733934611049,0.40240114352440237,0.1661635857550987,16.031567080045097,887,1,A
LogisticRegression,A3_DFA,DFA,All-16,3class,Mes 6,0.40586245772266066,0.3856510878482733,0.11383571849697727,16.685456595264938,887,1,A
MLP,A3_DFA,DFA,All-16,3class,Mes 6,0.4205186020293123,0.3889392535638148,0.13113957437239265,16.44870349492672,887,1,A
DecisionTree,A3_DFA,DFA,All-16,3class,Mes 6,0.42164599774520856,0.38680270521755405,0.0958026241795712,16.471251409244644,887,1,A
SVM,A3_DFA,DFA,All-16,2class,Mes 6,0.6121437422552665,0.6095320246161267,0.2244458704723188,11.635687732342008,807,1,A
kNN,A3_DFA,DFA,All-16,2class,Mes 6,0.5588599752168525,0.5545915709572594,0.11750720328309983,13.234200743494425,807,1,A
RandomForest,A3_DFA,DFA,All-16,2class,Mes 6,0.5241635687732342,0.5241043785935426,0.04830229472753178,14.275092936802974,807,1,A
NaiveBayes,A3_DFA,DFA,All-16,2class,Mes 6,0.6158612143742255,0.6158464675749051,0.23171181131380136,11.524163568773234,807,1,A
LogisticRegression,A3_DFA,DFA,All-16,2class,Mes 6,0.5625774473358116,0.5617052309936257,0.12505950753864536,13.12267657992565,807,1,A
MLP,A3_DFA,DFA,All-16,2class,Mes 6,0.5799256505576208,0.5774314378171315,0.16001252736523108,12.602230483271375,807,1,A
DecisionTree,A3_DFA,DFA,All-16,2class,Mes 6,0.5526641883519207,0.5526394589788595,0.10534623546283983,13.420074349442379,807,1,A
SVM,A4_Semivariograma,Semivariograma,All-16,3class,Mes 6,0.44306651634723787,0.416280613364864,0.1774564444886627,15.670800450958286,887,1,A
kNN,A4_Semivariograma,Semivariograma,All-16,3class,Mes 6,0.48252536640360766,0.446170917087928,0.2037624114792861,14.63359639233371,887,1,A
RandomForest,A4_Semivariograma,Semivariograma,All-16,3class,Mes 6,0.45208568207440814,0.4071940435863422,0.14506871864030302,15.276211950394588,887,1,A
NaiveBayes,A4_Semivariograma,Semivariograma,All-16,3class,Mes 6,0.4577226606538895,0.42856780310087816,0.19368360576114418,15.11837655016911,887,1,A
LogisticRegression,A4_Semivariograma,Semivariograma,All-16,3class,Mes 6,0.399098083427283,0.37453642376309687,0.09485637047304707,16.764374295377678,887,1,A
MLP,A4_Semivariograma,Semivariograma,All-16,3class,Mes 6,0.42390078917700114,0.3921731920012433,0.13779472888271704,16.36978579481398,887,1,A
DecisionTree,A4_Semivariograma,Semivariograma,All-16,3class,Mes 6,0.45434047350620066,0.40744567913819657,0.14528491962682322,15.501691093573845,887,1,A
SVM,A4_Semivariograma,Semivariograma,All-16,2class,Mes 6,0.6344485749690211,0.6334557380078062,0.2689925598847903,10.966542750929367,807,1,A
kNN,A4_Semivariograma,Semivariograma,All-16,2class,Mes 6,0.6418835192069393,0.6397571844517729,0.2836317394789949,10.743494423791821,807,1,A
RandomForest,A4_Semivariograma,Semivariograma,All-16,2class,Mes 6,0.5762081784386617,0.5760200319528082,0.15246190601949383,12.71375464684015,807,1,A
NaiveBayes,A4_Semivariograma,Semivariograma,All-16,2class,Mes 6,0.620817843866171,0.6207893120393121,0.24165315448113212,11.37546468401487,807,1,A
LogisticRegression,A4_Semivariograma,Semivariograma,All-16,2class,Mes 6,0.5539033457249071,0.5536559285161196,0.1077559995823173,13.382899628252789,807,1,A
MLP,A4_Semivariograma,Semivariograma,All-16,2class,Mes 6,0.5836431226765799,0.5794058521331249,0.16749461170503466,12.490706319702602,807,1,A
DecisionTree,A4_Semivariograma,Semivariograma,All-16,2class,Mes 6,0.6022304832713755,0.6021107344563346,0.20449639017439558,11.933085501858736,807,1,A
SVM,A5_Promedio,Promedio,All-16,3class,Mes 6,0.42164599774520856,0.3825710898018507,0.1353248011857595,15.738444193912063,887,1,A
kNN,A5_Promedio,Promedio,All-16,3class,Mes 6,0.45208568207440814,0.4059078153231077,0.16222041266886034,15.016910935738444,887,1,A
RandomForest,A5_Promedio,Promedio,All-16,3class,Mes 6,0.3788049605411499,0.3341267063086666,0.040631207845538975,17.14768883878241,887,1,A
NaiveBayes,A5_Promedio,Promedio,All-16,3class,Mes 6,0.41262683201803835,0.3843719127449589,0.14796766854357257,15.930101465614431,887,1,A
LogisticRegression,A5_Promedio,Promedio,All-16,3class,Mes 6,0.41037204058624577,0.37108253199977687,0.1079152877106414,16.110484780157837,887,1,A
MLP,A5_Promedio,Promedio,All-16,3class,Mes 6,0.4227733934611049,0.37977339591427867,0.11761185677979924,16.268320180383313,887,1,A
DecisionTree,A5_Promedio,Promedio,All-16,3class,Mes 6,0.3765501691093574,0.3338819815793044,0.039567746647373725,17.474633596392334,887,1,A
SVM,A5_Promedio,Promedio,All-16,2class,Mes 6,0.6270136307311028,0.6260950143846908,0.25412003132052874,11.189591078066915,807,1,A
kNN,A5_Promedio,Promedio,All-16,2class,Mes 6,0.6071871127633209,0.6032885218089816,0.21418237110076943,11.784386617100372,807,1,A
