Model,Feature_Subset,Class_Type,Month,Accuracy,F1,N
kNN,DFA_only,2class,Mes 6,0.5588599752168525,0.5545915709572594,807
NaiveBayes,DFA_only,2class,Mes 6,0.6158612143742255,0.6158464675749051,807
SVM,Semivariograma_only,3class,Mes 6,0.5828635851183765,0.42182706941044135,887
RandomForest,Semivariograma_only,3class,Mes 6,0.5062006764374295,0.42666062430382184,887
LogisticRegression,Semivariograma_only,3class,Mes 6,0.496054114994363,0.397980353896942,887
kNN,Semivariograma_only,3class,Mes 6,0.5636978579481398,0.44983323490341237,887
NaiveBayes,Semivariograma_only,3class,Mes 6,0.5625704622322435,0.4275258167511236,887
SVM,Semivariograma_only,2class,Mes 6,0.6344485749690211,0.6334557380078062,807
RandomForest,Semivariograma_only,2class,Mes 6,0.5762081784386617,0.5760200319528082,807
LogisticRegression,Semivariograma_only,2class,Mes 6,0.5539033457249071,0.5536559285161196,807
kNN,Semivariograma_only,2class,Mes 6,0.6418835192069393,0.6397571844517729,807
NaiveBayes,Semivariograma_only,2class,Mes 6,0.620817843866171,0.6207893120393121,807
SVM,HO_only,3class,Mes 6,0.560315670800451,0.39105996675616933,887
RandomForest,HO_only,3class,Mes 6,0.4464487034949267,0.37587312565439995,887
LogisticRegression,HO_only,3class,Mes 6,0.5276211950394588,0.36894341337247916,887
kNN,HO_only,3class,Mes 6,0.52423900789177,0.3802510143487467,887
NaiveBayes,HO_only,3class,Mes 6,0.5310033821871477,0.3708133837166276,887
SVM,HO_only,2class,Mes 6,0.6022304832713755,0.6016800210348598,807
RandomForest,HO_only,2class,Mes 6,0.5241635687732342,0.5240751434433782,807
LogisticRegression,HO_only,2class,Mes 6,0.5811648079306072,0.5811127082411912,807
kNN,HO_only,2class,Mes 6,0.59727385377943,0.5932768756716689,807
NaiveBayes,HO_only,2class,Mes 6,0.5774473358116481,0.5766959496564338,807
SVM,HRS_only,3class,Mes 6,0.5434047350620068,0.3792039713533491,887
RandomForest,HRS_only,3class,Mes 6,0.42841037204058624,0.3564829215658711,887
LogisticRegression,HRS_only,3class,Mes 6,0.5163472378804961,0.3678799185853638,887
kNN,HRS_only,3class,Mes 6,0.5073280721533259,0.3536418234473162,887
NaiveBayes,HRS_only,3class,Mes 6,0.5231116121758738,0.3648350380395134,887
SVM,HRS_only,2class,Mes 6,0.5947955390334573,0.5931061067466405,807
RandomForest,HRS_only,2class,Mes 6,0.516728624535316,0.5167100721103645,807
LogisticRegression,HRS_only,2class,Mes 6,0.5675340768277571,0.567212434596206,807
kNN,HRS_only,2class,Mes 6,0.5687732342007435,0.5639355055091115,807
NaiveBayes,HRS_only,2class,Mes 6,0.5848822800495663,0.5844509378655431,807
SVM,HV_only,3class,Mes 6,0.5828635851183765,0.42182706941044135,887
RandomForest,HV_only,3class,Mes 6,0.5062006764374295,0.42666062430382184,887
LogisticRegression,HV_only,3class,Mes 6,0.496054114994363,0.397980353896942,887
kNN,HV_only,3class,Mes 6,0.5636978579481398,0.44983323490341237,887
NaiveBayes,HV_only,3class,Mes 6,0.5625704622322435,0.4275258167511236,887
SVM,HV_only,2class,Mes 6,0.6344485749690211,0.6334557380078062,807
RandomForest,HV_only,2class,Mes 6,0.5762081784386617,0.5760200319528082,807
LogisticRegression,HV_only,2class,Mes 6,0.5539033457249071,0.5536559285161196,807
kNN,HV_only,2class,Mes 6,0.6418835192069393,0.6397571844517729,807
NaiveBayes,HV_only,2class,Mes 6,0.620817843866171,0.6207893120393121,807
SVM,All_Fractals,3class,Mes 6,0.62119503945885,0.4420212114329762,887
RandomForest,All_Fractals,3class,Mes 6,0.6042841037204059,0.4964780718123563,887
LogisticRegression,All_Fractals,3class,Mes 6,0.5862457722660653,0.48956272995396843,887
kNN,All_Fractals,3class,Mes 6,0.5794813979706878,0.438686464877213,887
NaiveBayes,All_Fractals,3class,Mes 6,0.503945885005637,0.46680761504096474,887
SVM,All_Fractals,2class,Mes 6,0.6728624535315985,0.6726407788472176,807
RandomForest,All_Fractals,2class,Mes 6,0.677819083023544,0.677759211706454,807
LogisticRegression,All_Fractals,2class,Mes 6,0.6505576208178439,0.6505141530296329,807
kNN,All_Fractals,2class,Mes 6,0.6480793060718711,0.6475592352926702,807
NaiveBayes,All_Fractals,2class,Mes 6,0.6133828996282528,0.6132112572201056,807
