Model,Channel_Config,Feature_Subset,Class_Type,Accuracy,F1,N
SVM,Motor-6,Martinez,3class,0.6486486486486487,0.7264424560320889,1184
RandomForest,Motor-6,Martinez,3class,0.6106418918918919,0.6987369839202846,1184
LogReg,Motor-6,Martinez,3class,0.6334459459459459,0.7112086797018304,1184
kNN,Motor-6,Martinez,3class,0.6461148648648649,0.7268800781440409,1184
NaiveBayes,Motor-6,Martinez,3class,0.6494932432432432,0.7295277558248099,1184
SVM,Motor-6,Martinez,2class,0.6197458455522972,0.6167797702105777,1023
RandomForest,Motor-6,Martinez,2class,0.5650048875855328,0.5641235794652115,1023
LogReg,Motor-6,Martinez,2class,0.5542521994134897,0.5503747455431497,1023
kNN,Motor-6,Martinez,2class,0.5933528836754643,0.593265437196073,1023
NaiveBayes,Motor-6,Martinez,2class,0.592375366568915,0.5923504369472462,1023
SVM,All-16,Delta,3class,0.6722972972972973,0.7440256926172419,1184
RandomForest,All-16,Delta,3class,0.6993243243243243,0.7677307271377513,1184
LogReg,All-16,Delta,3class,0.6494932432432432,0.729218269993389,1184
kNN,All-16,Delta,3class,0.6714527027027027,0.7462169005704183,1184
NaiveBayes,All-16,Delta,3class,0.6511824324324325,0.7286281527406958,1184
SVM,All-16,Delta,2class,0.6500488758553274,0.6480549682875265,1023
RandomForest,All-16,Delta,2class,0.6314760508308895,0.6311588527097087,1023
LogReg,All-16,Delta,2class,0.5786901270772239,0.577681271305682,1023
kNN,All-16,Delta,2class,0.6207233626588465,0.6203282828282828,1023
NaiveBayes,All-16,Delta,2class,0.5962854349951124,0.5944937398323263,1023
SVM,All-16,Delta+Martinez,3class,0.6934121621621622,0.760873491852065,1184
RandomForest,All-16,Delta+Martinez,3class,0.7356418918918919,0.7957992027725989,1184
LogReg,All-16,Delta+Martinez,3class,0.7035472972972973,0.7702458477500348,1184
kNN,All-16,Delta+Martinez,3class,0.6925675675675675,0.7625711574952563,1184
NaiveBayes,All-16,Delta+Martinez,3class,0.6655405405405406,0.7410146450736855,1184
SVM,All-16,Delta+Martinez,2class,0.6842619745845552,0.6813376087952359,1023
RandomForest,All-16,Delta+Martinez,2class,0.6842619745845552,0.6839128234610996,1023
LogReg,All-16,Delta+Martinez,2class,0.656891495601173,0.655860255915077,1023
kNN,All-16,Delta+Martinez,2class,0.6637341153470185,0.6636180804612644,1023
NaiveBayes,All-16,Delta+Martinez,2class,0.6089931573802542,0.6076882367829668,1023
SVM,All-16,Martinez,3class,0.668918918918919,0.7430096281029869,1184
RandomForest,All-16,Martinez,3class,0.6942567567567568,0.7638757115749527,1184
LogReg,All-16,Martinez,3class,0.6587837837837838,0.7332326400991441,1184
kNN,All-16,Martinez,3class,0.6731418918918919,0.7473331718669377,1184
NaiveBayes,All-16,Martinez,3class,0.6613175675675675,0.7386730981841602,1184
SVM,All-16,Martinez,2class,0.6256109481915934,0.6228199290517287,1023
RandomForest,All-16,Martinez,2class,0.6392961876832844,0.6391292917608707,1023
LogReg,All-16,Martinez,2class,0.5992179863147605,0.5962982212982213,1023
kNN,All-16,Martinez,2class,0.6324535679374389,0.6319721382372077,1023
NaiveBayes,All-16,Martinez,2class,0.6021505376344086,0.6021368513692877,1023
